lake,start_sampling,end_sampling,days_sampled,years_sampled,tsi,trophic_status,lake_lat,lake_long,Country,database_s,variables,ssr_statio,lake_area,lake_vol,lake_depth,ssr_id,ssr_source,ssr_lat,ssr_long,ssr_lake_d,ssr_start,ssr_end,ssr_years_,ssr_origin,climate_zone
Oak mere -intersection,2005,2019,124,15,66.30535115,eutrophic,53.202,-2.636,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,0.15,0.37,2.4,1283,GEBA,55.31666667,-3.2,238.1871269,1956,2017,62,month,10
Octopus lake,2006,2017,137,12,62.4192692,eutrophic,50.617,-99.924,Canada,UK Environment Agency,"chla', 'Depth'",,1.48,4.08,2.7,,,,,,,,,,7
Oneida lake,1975,2017,1381,43,48.77346452,mesotrophic,43.205,-75.923,United States of America,Knowledge Network for Biocomplexity (KNB),"chla', 'secchi', 'TP', 'temp', 'SRP', 'TDN'",,206.85,2296.12,11.1,,,,,,,,,,7
Oppmannasjön,1997,2018,96,22,57.61145877,eutrophic,56.083,14.346,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,12.31,99.67,8.1,2106,GEBA,56.93333333,14.73333333,97.61940981,1983,2017,35,month,7
Oppmannasjön -arkelstorpsviken,2001,2018,84,18,67.93686878,eutrophic,56.161,14.279,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,,,,2106,GEBA,56.93333333,14.73333333,90.44073143,1983,2017,35,month,7
Ormesby broad,2000,2019,284,20,62.15939412,eutrophic,52.682,1.647,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Oostende / Airpt.,0.43,0.85,2,2415,GEBA,51.2,2.866666667,184.9926161,1975,2008,30,month,10
Ormesby little broad,2000,2019,286,20,63.94044553,eutrophic,52.669,1.641,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Oostende / Airpt.,0.22,0.41,1.9,2415,GEBA,51.2,2.866666667,183.8529117,1975,2008,30,month,10
Pakowki lake -central,1996,1998,26,3,80.20537554,hypereutrophic,49.346,-110.928,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Seven Persons IMCIN,,,,3035845,Climate ID,49.9183,-110.9149,63.67803571,2005,2020,16,day,8
Pakowki lake W.,1996,1997,19,2,69.24483649,eutrophic,49.375,-111.063,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'TKN', 'NH4'",Bow Island,14.26,23.05,1.6,3030768,Climate ID,49.7333,-111.45,48.72545875,2005,2020,16,day,8
Paul Lake,1984,2016,487,33,44.30111755,mesotrophic,46.25,-89.5,United States of America,Environmental Data Initiative,"chla', 'Depth', 'DIC'",,,,,,,,,,,,,,7
Peter Lake,1984,2016,483,33,53.15246391,eutrophic,46.25,-89.5,United States of America,Environmental Data Initiative,"chla', 'Depth', 'DIC'",,,,,,,,,,,,,,7
Pigeon lake,1984,2013,42,30,58.9480567,eutrophic,53,-114.017,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",EDMONTON STONY PLAIN,97.41,978.26,10,301222F,ECCC,53.55,-114.11,61.5261025,1966,2006,40,day,7
Pine lake,2005,2005,6,1,59.61318351,eutrophic,52.103,-113.454,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Three Hills AGCM,3.97,33.85,8.5,3026479,Climate ID,51.7673,-113.2058,41.10611987,2005,2020,16,day,8
Pine lake -middle,1989,2007,108,19,61.9425825,eutrophic,52.068,-113.41,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Three Hills AGCM,3.97,33.85,8.5,3026479,Climate ID,51.7673,-113.2058,36.31420783,2005,2020,16,day,8
Pine lake -north,1989,2007,107,19,61.28397028,eutrophic,52.068,-113.41,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Three Hills AGCM,3.97,33.85,8.5,3026479,Climate ID,51.7673,-113.2058,36.31420783,2005,2020,16,day,8
Pine lake -south,1989,2007,101,19,61.99364075,eutrophic,52.068,-113.41,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Three Hills AGCM,3.97,33.85,8.5,3026479,Climate ID,51.7673,-113.2058,36.31420783,2005,2020,16,day,8
Primrose lake -north basin,1980,1981,14,2,61.45319063,eutrophic,54.901,-109.634,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",,436.35,4275.35,9.8,,,,,,,,,,7
Prästfjärden,1967,2019,252,53,47.25728287,mesotrophic,59.427,17.427,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,30.95514525,1922,2017,96,month,7
Ranworth broad,2000,2019,232,20,71.21743246,hypereutrophic,52.685,1.483,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.19,0.44,2.3,1299,GEBA,51.51666667,-0.116666667,170.0391363,1958,2006,49,month,10
Red tarn -stillwater,2007,2009,34,3,38.94860804,oligotrophic,54.53,-3.006,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,88.49641818,1956,2017,62,month,7
Ridöfjärden,1967,1968,12,2,56.90093318,eutrophic,59.52,16.613,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,1083.13,14000,12.9,2103,GEBA,58.58333333,16.25,106.3864354,1988,2010,23,month,7
Rockford lake,2014,2015,24,2,52.93999207,eutrophic,50.873,-1.78,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,0.48,1.01,2.1,1299,GEBA,51.51666667,-0.116666667,136.5113259,1958,2006,49,month,10
Rockland broad,2000,2000,10,1,55.20320456,eutrophic,52.593,1.442,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,160.4960574,1958,2006,49,month,10
Rollesby broad,2000,2019,306,20,62.43096576,eutrophic,52.678,1.641,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Oostende / Airpt.,0.43,0.85,2,2415,GEBA,51.2,2.866666667,184.7642492,1975,2008,30,month,10
Rostherne mere,2005,2007,35,3,64.97233236,eutrophic,53.352,-2.38,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,0.45,1.96,4.4,1283,GEBA,55.31666667,-3.2,225.1134487,1956,2017,62,month,10
Rostherne mere -outlet,2008,2011,47,4,58.50407005,eutrophic,53.353,-2.372,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,225.1606639,1956,2017,62,month,10
Rothay,2012,2013,18,2,45.59191528,mesotrophic,54.447,-2.984,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,97.78950475,1956,2017,62,month,10
Roxen -centrala delen,1994,2017,84,24,54.07823344,eutrophic,58.514,15.64,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,94.55,1234.96,13.1,2103,GEBA,58.58333333,16.25,36.37249113,1988,2010,23,month,7
Roxen S.,1994,2008,36,15,55.51958852,eutrophic,58.458,15.62,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,94.55,1234.96,13.1,2103,GEBA,58.58333333,16.25,39.26732571,1988,2010,23,month,7
Rutland water -hambleton south,2005,2019,168,15,56.36719051,eutrophic,52.66,-0.682,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,11.3,124,11,1299,GEBA,51.51666667,-0.116666667,132.9687981,1958,2006,49,month,10
Rutland water -north buoy,2003,2014,153,12,52.55869007,eutrophic,52.666,-0.672,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,11.3,124,11,1299,GEBA,51.51666667,-0.116666667,133.4464145,1958,2006,49,month,10
Rutland water -south buoy,2003,2014,151,12,53.60118543,eutrophic,52.648,-0.659,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,11.3,124,11,1299,GEBA,51.51666667,-0.116666667,131.2378146,1958,2006,49,month,10
Rutland water -tower,2003,2014,152,12,51.78578155,eutrophic,52.656,-0.624,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,11.3,124,11,1299,GEBA,51.51666667,-0.116666667,131.4573653,1958,2006,49,month,10
Salen,2015,2016,12,2,60.54431493,eutrophic,56.865,14.556,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,17.99,93.53,5.2,2106,GEBA,56.93333333,14.73333333,13.24900938,1983,2017,35,month,7
Salen -längst norrut,2015,2016,12,2,57.63941213,eutrophic,56.892,14.558,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,17.99,93.53,5.2,2106,GEBA,56.93333333,14.73333333,11.59836666,1983,2017,35,month,7
Sandy lake -north basin,1988,1993,26,6,78.80672919,hypereutrophic,53.809,-114.049,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,2.38,11.35,4.8,301222F,ECCC,53.55,-114.11,29.1589625,1966,2006,40,day,7
Sandy lake -south basin,1988,1993,25,6,73.453847,hypereutrophic,53.772,-114.03,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,9.28,71.14,7.7,301222F,ECCC,53.55,-114.11,25.2957691,1966,2006,40,day,7
Saskatoon lake,1986,1986,6,1,66.21996752,eutrophic,55.217,-119.088,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'pH'",,8.23,49.52,6,,,,,,,,,,7
Semer water,2013,2019,79,7,49.17161537,mesotrophic,54.283,-2.122,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,0.3,1.49,4.9,1283,GEBA,55.31666667,-3.2,134.3614561,1956,2017,62,month,10
Shearwater lake outflow,2004,2019,105,16,72.50205207,hypereutrophic,51.18,-2.212,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,150.6983178,1958,2006,49,month,10
Sherborne lake,2015,2016,24,2,69.99556067,eutrophic,50.948,-2.503,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Aberporth,,,,1293,GEBA,52.13333333,-4.566666667,194.6534369,1957,2017,61,month,10
Shorncliffe lake,1992,1992,14,1,52.27086913,eutrophic,52.469,-110.868,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'pH', 'NO2'",Rosemary IMCIN,2.35,5.69,2.4,3035650,Climate ID,50.8344,-112.0573,199.6778991,2005,2020,16,day,8
Sigtunafjärden,1966,1966,6,1,55.87469745,eutrophic,59.612,17.721,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,31.97999485,1922,2017,96,month,7
Silverwings lake -wraysbury,2007,2007,10,1,53.64828774,eutrophic,51.45,-0.549,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.32,0.46,1.4,1299,GEBA,51.51666667,-0.116666667,30.96651396,1958,2006,49,month,10
Skarven,1967,2019,275,53,56.71287933,eutrophic,59.554,17.807,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,24.08584098,1922,2017,96,month,7
Skeleton lake -south basin,1985,1986,13,2,59.56405972,eutrophic,54.615,-112.728,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Oliver AGDM,8.68,82.71,9.5,3014921,Climate ID,53.6466,-113.3546,115.2787603,2005,2020,16,day,7
Skelsmergh tarn,2016,2016,12,1,58.43700713,eutrophic,54.363,-2.719,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,110.5529166,1956,2017,62,month,10
Skifsen,2007,2019,69,13,42.44503574,mesotrophic,60.076,14.412,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Borlaenge,,,,2099,GEBA,60.43333333,15.5,72.18285971,1988,2013,26,month,7
Slapton ley,2015,2019,59,5,65.74475553,eutrophic,50.285,-3.651,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Camborne,0.51,2.42,4.8,1303,GEBA,50.21666667,-5.316666667,119.0247149,1964,2017,37,month,10
Smoke lake -composite,1983,1983,7,1,62.18837687,eutrophic,54.367,-116.933,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,9.11,73.46,8.1,301222F,ECCC,53.55,-114.11,206.3982075,1966,2006,40,day,7
Snails lake,2006,2010,54,5,56.05809286,eutrophic,50.863,-1.787,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,137.5496775,1958,2006,49,month,10
Sonning eye lake,2008,2009,24,2,50.52835108,eutrophic,51.477,-0.923,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,2.24,3.8,1.7,1299,GEBA,51.51666667,-0.116666667,56.15768161,1958,2006,49,month,10
South lake,2006,2017,93,12,57.18905798,eutrophic,50.646,-100.011,Canada,Open Canada,"chla', 'Depth'",,31.13,388.24,12.5,,,,,,,,,,7
South walsham broad,2000,2019,228,20,75.87580187,hypereutrophic,52.672,1.508,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,170.0592324,1958,2006,49,month,10
South walsham broad -edge,2006,2006,6,1,80.56266548,hypereutrophic,52.672,1.507,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,170.0070036,1958,2006,49,month,10
Sparkling lake,1981,2018,644,38,40.14393783,mesotrophic,46.008,-89.701,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,0.56,2.47,4.4,480,GEBA,43.13333333,-89.33333333,320.7738765,1950,2006,48,month,7
St Skärsjön,1996,2019,146,24,44.54611021,mesotrophic,57.168,14.509,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,0.27,1.08,4,2106,GEBA,56.93333333,14.73333333,29.43906944,1983,2017,35,month,7
St. Aspen,1980,1980,6,1,54.28287313,eutrophic,59.142,16.136,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,1.32,6.06,4.6,2103,GEBA,58.58333333,16.25,62.62327847,1988,2010,23,month,7
Stanborough sailing lake,2004,2006,36,3,75.68885471,hypereutrophic,51.783,-0.218,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,30.48351252,1958,2006,49,month,10
Steele (cross) lake,1993,2005,12,13,68.39600376,eutrophic,54.65,-113.767,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'pH', 'NO2'",Oliver AGDM,7.18,33.75,4.7,3014921,Climate ID,53.6466,-113.3546,114.8854752,2005,2020,16,day,7
Stengårdshultasjön,1996,2010,117,15,42.46115235,mesotrophic,57.558,13.802,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,4.73,36.42,7.7,2106,GEBA,56.93333333,14.73333333,89.42416631,1983,2017,35,month,7
Stensjön,1996,2019,305,24,42.83615916,mesotrophic,59.174,18.324,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,,,,1414,GEBA,59.35,17.95,28.95582166,1922,2017,96,month,7
Stewartby lake,2007,2019,104,13,53.71967264,eutrophic,52.072,-0.526,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,0.66,1.68,2.6,1299,GEBA,51.51666667,-0.116666667,67.94804666,1958,2006,49,month,10
Stockholm,1968,1968,6,1,58.79447133,eutrophic,59.303,18.077,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,8.891571198,1922,2017,96,month,7
Storhjälmaren,1968,1995,132,28,53.10797578,eutrophic,59.215,15.735,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,474.39,8077.22,17,2103,GEBA,58.58333333,16.25,76.37443513,1988,2010,23,month,7
Storsjön,1997,2010,55,14,48.33346311,mesotrophic,61.643,15.791,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Borlaenge,1.88,14.59,7.8,2099,GEBA,60.43333333,15.5,135.6933181,1988,2013,26,month,7
Strängnäsbron,1980,2000,242,21,52.589255,eutrophic,59.384,17.019,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,53.09910603,1922,2017,96,month,7
Sturgeon lake -main basin,1984,1985,14,2,65.346961,eutrophic,55.103,-117.538,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",,47.57,474.96,10,,,,,,,,,,7
Sturgeon lake -west arm,1984,1985,13,2,66.717856,eutrophic,55.109,-117.529,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",,47.57,474.96,10,,,,,,,,,,7
Stäket,1966,1966,6,1,51.38014564,eutrophic,59.895,18.909,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,,,,1414,GEBA,59.35,17.95,81.30350982,1922,2017,96,month,7
Stäketbron,1980,2000,232,21,51.2540787,eutrophic,57.905,16.415,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,,,,2103,GEBA,58.58333333,16.25,76.15089333,1988,2010,23,month,7
Sunbiggin tarn,2005,2006,17,2,58.97472324,eutrophic,54.464,-2.501,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,105.0092398,1956,2017,62,month,7
Svinnegarnsviken,1966,2019,255,54,58.4840188,eutrophic,59.568,17.071,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,55.48082242,1922,2017,96,month,7
Sätoftasjön,1975,2019,381,45,65.04416327,eutrophic,55.891,13.552,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Lund,24.63,131.65,5.3,2102,GEBA,55.71666667,13.21666667,28.59948209,1988,2017,30,month,7
Tabley mere,2005,2019,99,15,67.88985845,eutrophic,53.291,-2.418,Sweden,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,231.1684661,1956,2017,62,month,10
Taihu,1992,2018,309,27,67.97317403,eutrophic,31.271,120.219,China,,"chla', 'TP', 'TN'",,2329.14,5140,2.2,,,,,,,,,,11
Talkin tarn,2005,2006,23,2,58.51773194,eutrophic,54.925,-2.711,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,0.26,0.87,3.3,1283,GEBA,55.31666667,-3.2,53.63403108,1956,2017,62,month,7
Tallington lakes,2007,2009,33,3,51.47087256,eutrophic,52.672,-0.366,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.96,1.59,1.7,1299,GEBA,51.51666667,-0.116666667,129.7353012,1958,2006,49,month,10
Tatton mere -wfd,2005,2019,177,15,61.73539983,eutrophic,53.323,-2.369,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,0.32,1.22,3.9,1283,GEBA,55.31666667,-3.2,228.446336,1956,2017,62,month,10
Techill mere,2004,2008,50,5,65.68002919,eutrophic,52.91,-2.889,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Aberporth,0.38,1.2,3.2,1293,GEBA,52.13333333,-4.566666667,142.94296,1957,2017,61,month,10
Thirlmere -stillwater,2005,2010,46,6,40.62794195,mesotrophic,54.561,-3.068,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,2.91,40.7,14,1283,GEBA,55.31666667,-3.2,84.50219873,1956,2017,62,month,10
Thompson water,2007,2019,151,13,60.24161205,eutrophic,52.517,0.819,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,128.5435057,1958,2006,49,month,10
Thompson water -control 1B,2018,2019,19,2,72.881313,hypereutrophic,52.52,0.822,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,128.8524951,1958,2006,49,month,10
Thompson water -control 2A,2017,2017,6,1,51.74673697,eutrophic,52.518,0.821,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,128.6811701,1958,2006,49,month,10
Thompson water -control 2B,2018,2019,19,2,72.98205666,hypereutrophic,52.519,0.822,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,128.8466265,1958,2006,49,month,10
Thompson water -control 3,2017,2019,28,3,58.53094207,eutrophic,52.518,0.821,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,128.7002591,1958,2006,49,month,10
Thompson water -impact 1,2017,2019,28,3,65.18947403,eutrophic,52.517,0.819,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,128.5419858,1958,2006,49,month,10
Thompson water -impact 2,2017,2019,29,3,62.34087691,eutrophic,52.517,0.82,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,128.5263129,1958,2006,49,month,10
Thompson water -impact 3,2017,2019,29,3,63.18569409,eutrophic,52.517,0.82,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,128.5165344,1958,2006,49,month,10
Thrapston lake,2007,2019,149,13,62.25037428,eutrophic,52.402,-0.542,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.45,1.21,2.7,1299,GEBA,51.51666667,-0.116666667,102.7161853,1958,2006,49,month,10
Thunder lake,1986,1994,42,9,67.71652811,eutrophic,54.15,-114.75,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,,,,301222F,ECCC,53.55,-114.11,78.95349615,1966,2006,40,day,7
Tindale tarn,2011,2019,102,9,46.76297818,mesotrophic,54.923,-2.611,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,0.22,1.09,5,1283,GEBA,55.31666667,-3.2,57.72680721,1956,2017,62,month,7
Trehörningen,2000,2018,103,19,50.39409679,eutrophic,59.531,18.355,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,,,,1414,GEBA,59.35,17.95,30.56914563,1922,2017,96,month,7
Trout bog,1981,2018,640,38,66.68889367,eutrophic,46.041,-89.686,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,,,,480,GEBA,43.13333333,-89.33333333,324.3211268,1950,2006,48,month,7
Trout lake,1981,2018,644,38,41.10999182,mesotrophic,46.029,-89.665,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,15.24,167.73,11,480,GEBA,43.13333333,-89.33333333,322.8523282,1950,2006,48,month,7
Trummen mitt,2001,2019,72,19,60.22837403,eutrophic,56.861,14.827,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,0.77,2.6,3.4,2106,GEBA,56.93333333,14.73333333,9.83677271,1983,2017,35,month,7
Tryssjön,1996,2010,117,15,34.88574797,oligotrophic,60.435,15.083,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Borlaenge,0.28,1.58,5.6,2099,GEBA,60.43333333,15.5,22.94353151,1988,2013,26,month,7
Tucker lake,1980,1982,37,3,60.17849756,eutrophic,54.536,-110.631,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",Oliver AGDM,6.58,63.79,9.7,3014921,Climate ID,53.6466,-113.3546,203.8721031,2005,2020,16,day,7
Tuesday lake,1984,2016,278,33,51.30291028,eutrophic,49.113,-89.484,Canada,Environmental Data Initiative,"chla', 'Depth', 'DIC'",,0.16,0.46,2.9,,,,,,,,,,7
Turnershill marsh,2007,2019,152,13,64.6642592,eutrophic,51.706,-0.017,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,22.20593698,1958,2006,49,month,10
Turnford marsh lake,2006,2009,48,4,50.82196542,eutrophic,51.719,-0.019,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,23.51418786,1958,2006,49,month,10
Tåkern -glänås,2009,2016,36,8,62.48934186,eutrophic,58.35,14.824,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,43.84,116.37,2.7,2106,GEBA,56.93333333,14.73333333,157.8474825,1983,2017,35,month,7
Törn,2001,2001,6,1,49.92021274,mesotrophic,56.564,15.539,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,8.28,43.02,5.2,2106,GEBA,56.93333333,14.73333333,64.20101051,1983,2017,35,month,7
USGS-491528094470601,2010,2010,9,1,49.22708344,mesotrophic,49.258,-94.785,Canada,USGS and USEPA water quality portal,"chla', 'secchi', 'TP', 'pH', 'temp'",ELA,3472.81,37000,10.7,MET,ELA,49.664,-93.7327,88.6593381,,,33,day,8
